    "@nakdfashion, 20XBBS1Y, tessveldkamp, 2021-10-01",
    "@oililyworld, NATALIE15, natalievijfhuizen, 2021-10-01",
    "@idealofsweden, Demi15x, deemmx._, 2021-10-01",
    "@scarpedilusso.be, NISA20, nisavanbaelen, 2021-10-01",
    "@myproteinnl, RACHEL, racheljohn, 2021-10-01",
    "@idealofsweden, LOES15-X, loess_x, 2021-10-01",
    "@idealofsweden, BBTVF14, tessveldkamp, 2021-10-01",
    "@idealofsweden, ValQ15, valeriequirijns, 2021-10-01",
    "@loavies, DEE20, dee, 2021-10-01",
    "@smilewhiteglobal, karavrielink20, karavrielink, 2021-10-01",
    "@kensi.official, NURA20, nuravanvliet, 2021-10-01",
    "@nakdfashion, 20XBBZFI, kusslittlerachel, 2021-10-01",
    "@jasminfara.nl, Naomi2021, naomi_veenvliet, 2021-10-01",
    "@idealofsweden, BB15OFFIDEAL, emilie.terloo, 2021-10-01",
    "@mimamsterdam, chantalmim20, chantbaltes, 2021-10-01",
    "@hejorganic, HEJsabrina20, sabrinaputrix, 2021-10-01",
    "@armedangels, FLEURNIJBACKER_15, fleurnijbacker, 2021-10-01",
    "@gutsgusto, MICHELLEFLEUR20, michellefleur, 2021-10-01",

    "@tangue_cosmetics, SYLVANA20, sylvana.elling, 2021-10-02",
    "@theofficialsafira, SAF8069, naomi_veenvliet, 2021-10-02",
    "@myproteinnl, Larissa, larissavanmeerten, 2021-10-02",
    "@icaniwill, WENDIE20, wendievlaar, 2021-10-02",
    "@nakdfashion, Louisevdmx20, louisevandermeijs, 2021-10-02",
    "@wowteabelgium, NEWFIT10, xpeterinabroers, 2021-10-02",
    "@nakdfashion, Lottew20, lotte.wullink, 2021-10-02",
    "@veromoda, Lisanne20, lisannealaya, 2021-10-02",
    "@nakdfashion, lisannealaya20, lisannealaya, 2021-10-02",
    "@gutsgusto, KIYA20, kiya.vanrossum, 2021-10-02",
    "@kidsbrandstore, RACHEL20, kusslittlerachel, 2021-10-02",
    "@sheinofficial, 1esmeemelissaq2, esmeemelissa, 2021-10-02",
    "@lyko, donna20, donnadaizy, 2021-10-02",
    "@icaniwill, JOLIENFIT20, jolienbijl_, 2021-10-02",
    "@armedangels, STIJNFRANSEN_15, stijn_fransen, 2021-10-02",
    "@nakdfashion, nooshin20, annanooshin, 2021-10-02",
    "@kensi.official, ROMYDANIQUE20, rmdnbs, 2021-10-02",
    "@nakdfashion, Campbell20, campbellblairr, 2021-10-02",
    "@loavies, fleur20, fleurnijbacker, 2021-10-02",

    "@armedangels, SARAHREBECCANL_15, sarahrebeccanl, 2021-10-03",
    "@desenio, XTV12, tessveldkamp, 2021-10-03",
    "@hunkemoller, BBHKMHOSIERY, martaswiggers, 2021-10-03",
    "@smartphonehoesjesnl, MELANIE, xmelanievandijk, 2021-10-03",
    "@theofficialsafira, NIKKI15, xnikkiverhoef, 2021-10-03",
    "@idealofsweden, 15LINDI, lindivh, 2021-10-03",
    "@loavies, DJUNA20, djunabdatthijn, 2021-10-03",
    "@nakdfashion, valeriequirijns20, valeriequirijns, 2021-10-03",
